0 0.01 -1.88486e-009  0.004 1.77636e-018 0.004
0.289 -0.00849004 -0.0472603  0.00288323 0.00111677 0.004
0.29 -0.00853696 -0.0465792  0.00291519 0.00108481 0.004
0.291 -0.0085832 -0.0458944  0.00294685 0.00105315 0.004
0.292 -0.00862875 -0.0452059  0.00297821 0.00102179 0.004
0.293 -0.00867361 -0.0445138  0.00300926 0.000990738 0.004
0.294 -0.00871778 -0.0438181  0.00303999 0.000960014 0.004
0.295 -0.00876125 -0.043119  0.00307038 0.000929622 0.004
0.296 -0.00880402 -0.0424163  0.00310043 0.000899573 0.004
0.297 -0.00884608 -0.0417103  0.00313012 0.000869876 0.004
0.298 -0.00888743 -0.041001  0.00315946 0.00084054 0.004
0.299 -0.00892808 -0.0402884  0.00318842 0.000811576 0.004
0.3 -0.00896801 -0.0395725  0.00321701 0.000782992 0.004
0.301 -0.00900722 -0.0388535  0.0032452 0.000754797 0.004
0.302 -0.00904572 -0.0381314  0.003273 0.000727001 0.004
0.303 -0.00908349 -0.0374062  0.00330039 0.000699612 0.004
0.304 -0.00912053 -0.036678  0.00332736 0.000672639 0.004
0.305 -0.00915684 -0.0359469  0.00335391 0.000646091 0.004
0.306 -0.00919242 -0.035213  0.00338002 0.000619976 0.004
0.307 -0.00922727 -0.0344762  0.0034057 0.000594303 0.004
0.308 -0.00926137 -0.0337366  0.00343092 0.00056908 0.004
0.309 -0.00929474 -0.0329944  0.00345569 0.000544314 0.004
0.31 -0.00932736 -0.0322495  0.00347999 0.000520014 0.004
0.311 -0.00935924 -0.031502  0.00350381 0.000496188 0.004
0.312 -0.00939036 -0.030752  0.00352716 0.000472843 0.004
0.313 -0.00942074 -0.0299996  0.00355001 0.000449987 0.004
0.314 -0.00945036 -0.0292447  0.00357237 0.000427627 0.004
0.315 -0.00947923 -0.0284875  0.00359423 0.00040577 0.004
0.316 -0.00950734 -0.0277281  0.00361558 0.000384423 0.004
0.317 -0.00953468 -0.0269664  0.00363641 0.000363593 0.004
0.318 -0.00956127 -0.0262025  0.00365671 0.000343286 0.004
0.319 -0.00958709 -0.0254366  0.00367649 0.00032351 0.004
0.32 -0.00961214 -0.0246686  0.00369573 0.00030427 0.004
0.321 -0.00963642 -0.0238987  0.00371443 0.000285573 0.004
0.322 -0.00965994 -0.0231268  0.00373258 0.000267425 0.004
0.323 -0.00968268 -0.0223531  0.00375017 0.000249831 0.004
0.324 -0.00970464 -0.0215776  0.0037672 0.000232797 0.004
0.325 -0.00972583 -0.0208004  0.00378367 0.000216328 0.004
0.326 -0.00974624 -0.0200215  0.00379957 0.00020043 0.004
0.327 -0.00976587 -0.019241  0.00381489 0.000185108 0.004
0.328 -0.00978472 -0.018459  0.00382963 0.000170367 0.004
0.329 -0.00980279 -0.0176755  0.00384379 0.000156211 0.004
0.33 -0.00982007 -0.0168906  0.00385735 0.000142645 0.004
0.331 -0.00983657 -0.0161043  0.00387033 0.000129674 0.004
0.332 -0.00985228 -0.0153167  0.0038827 0.000117301 0.004
0.333 -0.00986721 -0.0145279  0.00389447 0.00010553 0.004
0.334 -0.00988134 -0.013738  0.00390563 9.43662e-005 0.004
0.335 -0.00989468 -0.0129469  0.00391619 8.38117e-005 0.004
0.336 -0.00990723 -0.0121549  0.00392613 7.38703e-005 0.004
0.337 -0.00991899 -0.0113618  0.00393545 6.45453e-005 0.004
0.338 -0.00992996 -0.0105678  0.00394416 5.58397e-005 0.004
0.339 -0.00994013 -0.00977304  0.00395224 4.77561e-005 0.004
0.34 -0.0099495 -0.00897745  0.0039597 4.02973e-005 0.004
0.341 -0.00995808 -0.00818114  0.00396653 3.34655e-005 0.004
0.342 -0.00996586 -0.00738417  0.00397274 2.7263e-005 0.004
0.343 -0.00997285 -0.00658662  0.00397831 2.16918e-005 0.004
0.344 -0.00997904 -0.00578854  0.00398325 1.67536e-005 0.004
0.345 -0.00998443 -0.00499  0.00398755 1.245e-005 0.004
0.346 -0.00998902 -0.00419105  0.00399122 8.78246e-006 0.004
0.347 -0.00999281 -0.00339177  0.00399425 5.75207e-006 0.004
0.348 -0.0099958 -0.00259222  0.00399664 3.35981e-006 0.004
0.349 -0.00999799 -0.00179247  0.00399839 1.60647e-006 0.004
0.35 -0.00999938 -0.000992567  0.00399951 4.92595e-007 0.004
0.351 -0.00999998 -0.000192587  0.00399998 1.85449e-008 0.004
0.352 -0.00999977 0.000607408  0.00399982 1.84472e-007 0.004
0.353 -0.00999876 0.00140735  0.00399901 9.90323e-007 0.004
0.354 -0.00999695 0.00220719  0.00399756 2.43584e-006 0.004
0.355 -0.00999435 0.00300685  0.00399548 4.52056e-006 0.004
0.356 -0.00999094 0.00380626  0.00399276 7.24382e-006 0.004
0.357 -0.00998674 0.00460538  0.0039894 1.06047e-005 0.004
0.358 -0.00998173 0.00540412  0.0039854 1.46023e-005 0.004
0.359 -0.00997593 0.00620243  0.00398076 1.92351e-005 0.004
0.36 -0.00996933 0.00700025  0.0039755 2.45017e-005 0.004
0.361 -0.00996193 0.0077975  0.0039696 3.04005e-005 0.004
0.362 -0.00995373 0.00859413  0.00396307 3.69296e-005 0.004
0.363 -0.00994474 0.00939008  0.00395591 4.40868e-005 0.004
0.364 -0.00993495 0.0101853  0.00394813 5.18699e-005 0.004
0.365 -0.00992437 0.0109796  0.00393972 6.02763e-005 0.004
0.366 -0.00991299 0.0117731  0.0039307 6.93035e-005 0.004
0.367 -0.00990082 0.0125657  0.00392105 7.89485e-005 0.004
0.368 -0.00988786 0.0133573  0.00391079 8.92082e-005 0.004
0.369 -0.00987411 0.0141477  0.00389992 0.000100079 0.004
0.37 -0.00985957 0.0149371  0.00388844 0.000111558 0.004
0.371 -0.00984423 0.0157253  0.00387636 0.000123642 0.004
0.372 -0.00982812 0.0165122  0.00386367 0.000136326 0.004
0.373 -0.00981121 0.0172977  0.00385039 0.000149606 0.004
0.374 -0.00979352 0.0180819  0.00383652 0.000163478 0.004
0.375 -0.00977505 0.0188647  0.00382206 0.000177938 0.004
0.376 -0.00975579 0.0196459  0.00380702 0.000192981 0.004
0.377 -0.00973576 0.0204256  0.0037914 0.000208602 0.004
0.378 -0.00971494 0.0212036  0.0037752 0.000224797 0.004
0.379 -0.00969335 0.0219799  0.00375844 0.000241559 0.004
0.38 -0.00967098 0.0227545  0.00374112 0.000258884 0.004
0.381 -0.00964784 0.0235273  0.00372323 0.000276767 0.004
0.382 -0.00962393 0.0242982  0.0037048 0.0002952 0.004
0.383 -0.00959925 0.0250671  0.00368582 0.00031418 0.004
0.384 -0.00957379 0.025834  0.0036663 0.000333698 0.004
0.385 -0.00954758 0.0265989  0.00364625 0.00035375 0.004
0.386 -0.0095206 0.0273616  0.00362567 0.000374329 0.004
0.387 -0.00949286 0.0281222  0.00360457 0.000395428 0.004
0.388 -0.00946435 0.0288804  0.00358296 0.00041704 0.004
0.389 -0.0094351 0.0296364  0.00356084 0.000439159 0.004
0.39 -0.00940508 0.03039  0.00353822 0.000461777 0.004
0.391 -0.00937432 0.0311412  0.00351511 0.000484888 0.004
0.392 -0.0093428 0.0318899  0.00349152 0.000508483 0.004
0.393 -0.00931054 0.0326361  0.00346744 0.000532556 0.004
0.394 -0.00927753 0.0333796  0.0034429 0.000557098 0.004
0.395 -0.00924378 0.0341204  0.0034179 0.000582102 0.004
0.396 -0.00920929 0.0348586  0.00339244 0.00060756 0.004
0.397 -0.00917406 0.0355939  0.00336654 0.000633463 0.004
0.398 -0.0091381 0.0363264  0.0033402 0.000659803 0.004
0.399 -0.00910141 0.037056  0.00331343 0.000686573 0.004
0.4 -0.00906399 0.0377826  0.00328624 0.000713762 0.004
0.401 -0.00902585 0.0385062  0.00325864 0.000741364 0.004
0.402 -0.00898698 0.0392267  0.00323063 0.000769368 0.004
0.403 -0.00894739 0.0399441  0.00320223 0.000797765 0.004
0.404 -0.00890709 0.0406583  0.00317345 0.000826548 0.004
0.405 -0.00886608 0.0413692  0.00314429 0.000855706 0.004
0.406 -0.00882436 0.0420768  0.00311477 0.00088523 0.004
0.407 -0.00878193 0.0427811  0.00308489 0.000915111 0.004
0.408 -0.00873879 0.0434819  0.00305466 0.000945339 0.004
0.409 -0.00869496 0.0441793  0.0030241 0.000975904 0.004
0.41 -0.00865044 0.0448731  0.0029932 0.0010068 0.004
0.411 -0.00860522 0.0455633  0.00296199 0.00103801 0.004
